decil,total,churn,churn_rate,lift,baseline
0,141,104,0.7375886524822695,2.7748321765843666,0.2658137882018479
1,141,80,0.5673758865248227,2.1344862896802823,0.2658137882018479
2,140,66,0.4714285714285714,1.7735294117647058,0.2658137882018479
3,141,43,0.3049645390070922,1.1472863807031515,0.2658137882018479
4,140,28,0.2,0.7524064171122995,0.2658137882018479
5,141,27,0.19148936170212766,0.7203891227670952,0.2658137882018479
6,141,14,0.09929078014184398,0.3735351006940494,0.2658137882018479
7,140,10,0.07142857142857142,0.2687165775401069,0.2658137882018479
8,141,0,0.0,0.0,0.2658137882018479
9,141,2,0.014184397163120567,0.05336215724200705,0.2658137882018479
